date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,ABCC,LEND,BTC,0.00000367,0.00000367,0.00000367,0.00000367,0,0
2019-07-21,ABCC,IGG,TRX,0.0047,0.0047,0.0047,0.0047,0,0
2019-07-21,ABCC,ETC,ETH,0.03563,0.03563,0.03563,0.03563,0,0
2019-07-21,ABCC,XDCE,ETH,0.00000199,0.00000199,0.00000199,0.00000199,0,0
2019-07-21,ABCC,ETC,BTC,0.002466,0.002466,0.002466,0.002466,0,0
2019-07-21,ABCC,ENG,ETH,0.00289,0.00289,0.00289,0.00289,0,0
2019-07-21,ABCC,ENG,BTC,0.00009419,0.00009419,0.00009419,0.00009419,0,0
2019-07-21,ABCC,STORJ,BTC,0.00004086,0.00004086,0.00004086,0.00004086,0,0
2019-07-21,ABCC,WICC,ETH,0.0007447,0.0007447,0.0007447,0.0007447,0,0
2019-07-21,ABCC,WICC,BTC,0.00003499,0.00003499,0.00003499,0.00003499,0,0
2019-07-21,ABCC,STORJ,ETH,0.001515,0.001515,0.001515,0.001515,0,0
2019-07-21,ABCC,BEAM,BTC,0.0001578,0.0001578,0.0001578,0.0001578,0,0
2019-07-21,ABCC,POWR,BTC,0.00002081,0.00002081,0.00002081,0.00002081,0,0
2019-07-21,ABCC,POWR,ETH,0.0006225,0.0006225,0.0006225,0.0006225,0,0
2019-07-21,ABCC,DPY,BTC,0.00002722,0.00002722,0.00002722,0.00002722,0,0
2019-07-21,ABCC,BEAM,USDT,0.5931,0.5931,0.5931,0.5931,0,0
2019-07-21,ABCC,XRP,ETH,0.001688,0.001688,0.001688,0.001688,0,0
2019-07-21,ABCC,XRP,BTC,0.00007066,0.00007066,0.00007066,0.00007066,0,0
2019-07-21,ABCC,ZRX,BTC,0.000108,0.000108,0.000108,0.000108,0,0
2019-07-21,ABCC,ZRX,ETH,0.000983,0.000983,0.000983,0.000983,0,0
2019-07-21,ABCC,KNC,ETH,0.001097,0.001097,0.001097,0.001097,0,0
2019-07-21,ABCC,KNC,BTC,0.00007765,0.00007765,0.00007765,0.00007765,0,0
2019-07-21,ABCC,ZRX,USDT,0.88,0.88,0.88,0.88,0,0
2019-07-21,ABCC,R,BTC,0.00001398,0.00001398,0.00001398,0.00001398,0,0
2019-07-21,ABCC,TNS,BTC,5.5e-7,5.5e-7,5.5e-7,5.5e-7,0,0
2019-07-21,ABCC,NPXS,ETH,0.00000382,0.00000382,0.00000382,0.00000382,0,0
2019-07-21,ABCC,CVC,ETH,0.0004461,0.0004461,0.0004461,0.0004461,0,0
2019-07-21,ABCC,CVC,BTC,0.00002118,0.00002118,0.00002118,0.00002118,0,0
2019-07-21,ABCC,TTU,USDT,0.4891,0.4891,0.4891,0.4891,0,0
2019-07-21,ABCC,BNT,BTC,0.0001868,0.0001868,0.0001868,0.0001868,0,0
2019-07-21,ABCC,BNT,ETH,0.003695,0.003695,0.003695,0.003695,0,0
2019-07-21,ABCC,DATX,ETH,0.00001942,0.00001942,0.00001942,0.00001942,0,0
2019-07-21,ABCC,BTC,USDT,6709,6709,6709,6709,0,0
2019-07-21,ABCC,AT,BTC,0.0001598,0.0001598,0.0001598,0.0001598,0,0
2019-07-21,ABCC,PTI,BTC,3.8e-7,3.8e-7,3.8e-7,3.8e-7,0,0
